INDIA19_Kloktijdplanning_A79_v1 — FROZEN AUDIT MIRROR
PDF SHA256: 0adec758a0b156d56fdd7c8552fa214b78f8e24291d9be759e367dde99d00716
DOCX SHA256: 6f2369a804972da9325bbdac26033e07ca18833d6562859d7a6954b5ebc7619f
Frozen A-ledger commit: a2b71b2563f446480b012f0b9176a87e96fcb003
PDF pages: 26

=== DAILY CLOCK TABLES 39-72 ===
-- TABLE 40 --
Tijd | Activiteit / A-nummer | Afstand vanaf vorige A | Afstand naar volgende A | Status
05:10 | Opstaan. |  |  | 
05:30-08:00 | A025 Ganges dawn rowboat incl. embark/disembark. | Vanaf Assi-basis: ~0-0.5 km | Naar A026: ~5-6 km / 20-35 min | SCHEDULED
08:00-09:00 | Ontbijt. |  |  | 
09:00-09:45 | Transfer/security richting Vishwanath-zone. |  |  | 
10:00-11:00 | A026 Shri Kashi Vishwanath Temple. | Vanaf A025-eindpunt/Assi: ~5-6 km / 20-35 min | Naar A027: ~0.1 km / 2-5 min | SCHEDULED
11:05-11:30 | A027 Maa Annapurna Temple. | Vanaf A026: ~0.1 km | Naar A028: ~0.3 km / 5-10 min | SCHEDULED
11:40-12:05 | A028 Vishalakshi Gauri Temple. | Vanaf A027: ~0.3 km / 5-10 min | Naar A029: ~0.4-0.8 km / 10-20 min | SCHEDULED
12:15-13:15 | A029 Bengali Tola - Thatheri Bazaar - Chowk lanes: echte route-through. | Vanaf A028: ~0.4-0.8 km | Naar A030: ~0.1 km / 2-5 min | SCHEDULED
13:15-13:35 | A030 Banarasi paan. | Vanaf A029: ~0.1 km | Naar A031: ~3 km / 20-30 min auto | SCHEDULED
13:35-14:30 | Lunch. |  |  | 
14:30-15:00 | Auto naar Kabir Chaura. |  |  | 
15:00-16:00 | A031 Kabir Chaura Math. | Vanaf A030: ~3 km / 20-30 min | Laatste A; terug Assi ~5 km / 25-40 min | SCHEDULED
16:00-avond | Terug / rust. |  |  | 

-- TABLE 42 --
