LIVE_ID,HISTORIC_CARD_ID,SOURCE_ID,WORLD,PLACE,LIVE_GRADE,LIVE_EXECUTION_CLASS,NOTE
L001,A077,DEL-01,Delhi,Nirmal Dham / Shri Mataji Nirmala Devi Ashram,A+,CORE,"Shri Mataji samadhi/mausoleum; final-Delhi buffer; AI155 safety outranks visit"
L002,A079,DEL-02,Delhi,PVR Priya IMAX,A,CONDITIONAL,"Only with worthwhile Hindi/IMAX title and safe final-day timing"
L003,A078,DEL-03,Delhi,Lotus Temple / Baha'i House of Worship,A,CORE,"Contemplative architecture; final-day content only if flight buffer remains safe"
L004,A011,KUM-01,Kumaon,Haidakhan Vishwa Mahadham / Haidakhan Ashram,A+,CORE,"Three nights; two full protected quiet days"
L005,A012,KUM-02,Kumaon,Historic Haidakhan cave / gufa,A+,CORE,"Separate devotional point inside ashram world"
L006,,KUM-NEW-KAILASH,Kumaon,Haidakhan local-Kailash summit / summit temple,A,CONDITIONAL_ONSITE,"NEW live entity; Haidakhan Babaji prolonged meditation/early teaching place; grade A fixed, execution on-site conditional"
L007,A001,KUM-03,Kumaon,Hotel Evelyn,A+,CORE,"Ram Dass historical-property atmosphere; sleep base"
L008,A002,KUM-04,Kumaon,Naini Lake circumambulation walk,A+,CORE,"Full lakeside walking circuit; gentle experiential Nainital anchor"
L009,A004,KUM-05,Kumaon,Kainchi Dham,A+,CORE,"Central later Neem Karoli Baba/Ram Dass guru-ashram world; not first-meeting site"
L010,A009,KUM-06,Kumaon,Mahavatar Babaji's Cave,A+,CORE,"Central Kriya pilgrimage anchor"
L011,A005,KUM-07,Kumaon,Bhumiadhar,A,CORE,"Best current evidence for first Ram Dass-Neem Karoli Baba physical meeting"
L012,A003,KUM-08,Kumaon,Hanuman Garhi + Maharajji-kuti,A+,CORE,"PROMOTED 2026-09-13; Maharajji kuti is center of gravity, temple is host context"
L013,A006,KUM-09,Kumaon,Dhokaney Waterfall,A*,CORRIDOR_BYCATCH,"Conditional A*: include only if free on transfer corridor; never extra day/detour"
L014,A010,KUM-10,Kumaon,Yogoda Satsanga Sakha Ashram Dwarahat,A,CORE,"Dedicated full-day Yogananda/Kriya visit; no overnight assumption"
L015,A007,KUM-11,Kumaon,Dunagiri Temple / Maa Dunagiri Vaishnavi Temple,A,CORE,"Recognition hook: Bell Temple; long climb/corridor through hundreds of bells"
L016,A008,KUM-12,Kumaon,Babaji Smriti Bhavan,A,CORE,"Babaji memorial layer paired naturally with cave pilgrimage"
L017,,KUM-13,Kumaon,Sattal / Seven Lakes,A*,SKIP_FIRST,"Only natural transfer bycatch; no dedicated excursion"
L018,,KUM-14,Kumaon,Sakley's Restaurant & Pastry Shop,A*,FINAL_COMFORT,"Food/coffee; zero independent night weight"
L019,,KUM-15,Kumaon,Kakrighat / Karkrighat,A*,SKIP_FIRST,"Corridor pilgrimage bycatch; no dedicated day"
L020,,KUM-16,Kumaon,Dwarahat historic temple groups,A*,SKIP_FIRST,"Architectural corridor bycatch"
L021,A016,AGR-01,Agra,Taj Mahal,A+,CORE,"Sole protected Agra sightseeing anchor; Yogananda onsite photo/memory cue; depart ASAP afterward"
L022,,,Agra,Bedai at Deviram's,B,OPPORTUNISTIC,"Historic A013 now B; zero/near-zero marginal burden only"
L023,,,Agra,Petha,B,OPPORTUNISTIC,"Historic A014 now B; zero/near-zero marginal burden only"
L024,,,Agra,Gajak,B,OPPORTUNISTIC,"Historic A015 now B; zero/near-zero marginal burden only"
L025,A017,BOD-01,Bodh Gaya,Mahabodhi Temple Complex + Bodhi Tree,A+,CORE,"Enlightenment anchor; unhurried Bodhi Tree presence"
L026,A020,BOD-02,Bodh Gaya,Sujata Stupa / Garh,A,CORE,"LIVE grade A; separate archaeological stupa from milk-offering place"
L027,A021,BOD-03,Bodh Gaya,Dungeshwari / Mahakala Caves,A+,CORE,"Start of protected pilgrimage walk; Buddha's ascetic-period cave world"
L028,A018,BOD-04,Bodh Gaya,Great Buddha Statue,A,CORE,"Low-burden Buddhist landmark near monastery belt"
L029,A022,BOD-05,Bodh Gaya,Pragbodhi seven-stupa ridge,A,CORE_IF_SAFE,"Seven ancient stupa remains/markers; ridge out-and-back; 1.5-2.25h; local guide preferred"
L030,,BOD-NEW-SUJATA-OFFERING,Bodh Gaya,Sujata milk-offering spot / Sujata Temple / traditional banyan,A+,CORE,"NEW live entity; Middle Way turning-point place; separate from Sujata Stupa"
L031,,BOD-06,Bodh Gaya,Rajgir Brahmakund hot springs,A*,SKIP_FIRST,"Only natural corridor bycatch; never dedicated Rajgir day"
L032,A019,BOD-07,Bodh Gaya,International monastery belt,A,CORE,"Flexible 2-3-monastery walk; cultural breadth without checklist behavior"
L033,,BOD-08,Bodh Gaya,Gaya Tilkut micro-experience,A*,FINAL_COMFORT,"Only if already passing through Gaya"
L034,A052,VNS-01,Varanasi/Sarnath,Manikarnika Ghat,A+,CORE,"Lahiri Mahasaya cremation place + active cremation/moksha reality; open-ended final block"
L035,A038,VNS-02,Varanasi/Sarnath,New Bhrigu Karyalaya / Bhadury Sadan,A+,APPOINTMENT_GATE,"Mark's present-day Bhrigu experience; appointment required; Kriyananda's 1959 reading was Barnala"
L036,A024,VNS-03,Varanasi/Sarnath,Dashashwamedh Ghat + evening Ganga Aarti,A+,CORE,"Defining Varanasi experience + AOAY Babaji/Mataji/Ram Gopal Dasasamedh layer"
L037,A053,VNS-04,Varanasi/Sarnath,Sarnath sacred-archaeological world,A+,CORE,"Buddha first-sermon parent world; child sites remain individually visible"
L038,A051,VNS-05,Varanasi/Sarnath,Ratneshwar Mahadev leaning river temple,A+,CORE,"Distinctive leaning/submerged temple beside Manikarnika"
L039,A030,VNS-06,Varanasi/Sarnath,Banarasi paan,A,SMALL_ROUTE_ITEM,"Local-culture tasting while already in Old City"
L040,A029,VNS-07,Varanasi/Sarnath,Bengali Tola-Thatheri Bazaar-Chowk lanes,A,CORE,"Lahiri school involvement in Bengalitola + Old Kashi human texture"
L041,A032,VNS-08,Varanasi/Sarnath,Assi-Tulsi slow dawn ghat walk,A,CORE,"Atmosphere/intrinsic experience is itself A-value; distinct from boat/program"
L042,A037,VNS-09,Varanasi/Sarnath,Subah-e-Banaras at Assi Ghat,A*,ZERO_COST_ONLY,"Conditional A*: only if hotel/route makes it effectively free; never extra night"
L043,A025,VNS-10,Varanasi/Sarnath,Ganges dawn rowboat,A,CORE,"Protected separate dawn river experience"
L044,A027,VNS-11,Varanasi/Sarnath,Maa Annapurna Temple,A,CORE,"Annapurna temple in Vishwanath sacred microcluster"
L045,A028,VNS-12,Varanasi/Sarnath,Vishalakshi Gauri Temple,A,CORE,"One of the 51 Shakti Peethas; major pilgrimage-network reason independent of person links"
L046,A054,VNS-16,Varanasi/Sarnath,Chaukhandi Stupa,A,CORE,"Traditional Buddha-first-five-disciples meeting marker"
L047,A055,VNS-38,Varanasi/Sarnath,Sarnath Archaeological Museum,A,CORE,"Holds original Ashoka Lion Capital, source of India's national emblem; Friday closed"
L048,A056,VNS-14,Varanasi/Sarnath,Dhamek Stupa,A,CORE,"Monumental first-sermon sacred-zone anchor"
L049,A057,VNS-17,Varanasi/Sarnath,Deer Park,A,CORE,"First-sermon landscape/breathing space"
L050,A058,VNS-15,Varanasi/Sarnath,Mulagandha Kuti Vihara,A,CORE,"Living Buddhist practice + murals of Buddha's life"
