A_ID,source_id,location,physical_description,linked_people,exact_event_or_presence,PHYSICAL_LINK_CLASS,meaningful_subplace,evidence_sources,strongest_FOR,strongest_AGAINST,WORK_RELEVANCE_SIGNAL,dwell,new_fact
A001,KUM-03,Hotel Evelyn,"Historic Nainital hotel used by Western Maharajji devotees",Ram Dass,"Ram Dass/devotee lodging tradition at this property; exact room not proven",EXACT_LIFE_SITE,"historic hotel fabric; ask staff for documented room/guest history","frozen ledger KUM-03 provenance; clock PDF; https://ashramsofindia.com/the-hotels-they-stayed-in-hotel-evelyn/","Embodied first-generation devotee geography and gentle arrival","Private hotel; exact room and access to historic fabric unverified",STRONG,VISIT,"Property-level link is supportable; room-level claim is not"
A002,KUM-04,Naini Lake circumambulation walk,"Public lakeside circuit around Naini Lake",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"lake edge and full pedestrian circuit","frozen ledger KUM-04 provenance; clock PDF; Nainital district tourism","Strong decompression and place-orientation experience","No AOAY/Top-11 physical provenance",MIXED,SIT_60M_OR_MORE,"Its value is experiential rather than person-provenance based"
A003,KUM-08,Hanuman Garhi + Maharajji kuti,"Hilltop Hanuman temple complex with Maharajji-associated hut",Neem Karoli Baba,"Temple established at Maharajji's instance; he stayed/served here",EXACT_LIFE_SITE,"Maharajji kuti plus Hanuman shrine","frozen ledger KUM-08 provenance; clock PDF; https://nainital.nic.in/tourist-place/hanuman-garhi/","Direct Maharajji life-site with identifiable inner target","Public histories differ on exact construction year/details",VERY_STRONG,SIT_60M_OR_MORE,"District source independently attributes the temple's establishment to Neem Karoli Baba"
A004,KUM-05,Kainchi Dham,"Working ashram-temple founded around the Kainchi valley",Neem Karoli Baba;Ram Dass,"Maharajji founded and stayed here; Ram Dass's guru-world formed here",EXACT_LIFE_SITE,"Maharajji temple/room-samadhi focus and ashram courtyard","frozen ledger KUM-05 provenance; clock PDF; https://www.ramdass.org/; https://maharajji.love/kainchi/","Central living anchor of the Neem Karoli Baba/Ram Dass lineage","Crowding and institutional controls can reduce unstructured sitting",VERY_STRONG,PILGRIMAGE_BLOCK,"The exact-site relevance is stronger than generic 'ashram context' wording"
A005,KUM-07,Bhumiadhar,"Small roadside Maharajji temple/ashram near Bhowali",Neem Karoli Baba;Ram Dass,"Project provenance places Ram Dass's first meeting with Maharajji here",EXACT_LIFE_SITE,"meeting-site temple/kuti area", "frozen ledger KUM-07 provenance; clock PDF; Ram Dass/Maharajji project history","Exact turning-point encounter for two Top-11 figures","Public documentation of the precise room/spot is thin",VERY_STRONG,SIT_60M_OR_MORE,"PDF-style shorthand materially understates the first-meeting significance"
A006,KUM-09,Dhokaney Waterfall,"Roadside forest waterfall on the Kumaon transfer corridor",NONE,"No exact priority-person presence found",NAME_ONLY_OR_NO_PERSON_LINK,"waterfall viewpoint and short approach","frozen ledger KUM-09 provenance; clock PDF; local geography sources","Useful sensory pause on an otherwise taxing transfer","No person/AOAY provenance; seasonal flow and access vary",WEAK,LOOK,"Relevance is route-break quality, not lineage provenance"
A007,KUM-11,Maa Dunagiri Vaishnavi Temple,"Ancient hill temple reached by stairs above Dunagiri",Mahavatar Babaji;Lahiri Mahasaya,"Tradition situates the Babaji-Lahiri sacred landscape nearby; no exact event at this temple proved",NAME_ONLY_OR_NO_PERSON_LINK,"sanctum and mountain outlook","frozen ledger KUM-11 provenance; clock PDF; regional temple histories","Powerful living Shakti shrine embedded in the Babaji landscape","Temple is not automatically the Babaji-Lahiri meeting site",STRONG,SIT_60M_OR_MORE,"Separate sacred-geography relevance from exact-person-event provenance"
A008,KUM-12,Babaji Smriti Bhavan,"Modern memorial/meditation building near Kukuchina",Mahavatar Babaji,"Commemorates Babaji; no demonstrated lifetime event in the present structure",MEMORIAL_OR_SUCCESSOR,"meditation room and memorial focus","frozen ledger KUM-12 provenance; clock PDF; local pilgrimage descriptions","Quiet preparatory container near the cave approach","Modern commemoration can be mistaken for an exact historic site",MIXED,SIT_30M,"Correct class is memorial, not exact life-site"
A009,KUM-06,Mahavatar Babaji's Cave,"Mountain cave above Kukuchina reached on foot",Mahavatar Babaji;Lahiri Mahasaya,"Kriya tradition identifies it as the Babaji-Lahiri initiation/meeting cave",EXACT_LIFE_SITE,"cave interior and immediate ledge","frozen ledger KUM-06 provenance; clock PDF; https://anandapilgrimages.org/","Canonical Kriya pilgrimage target with a precise encounterable subplace","Exact historical identification rests on lineage tradition rather than contemporaneous archaeology",VERY_STRONG,PILGRIMAGE_BLOCK,"High relevance remains compatible with explicit tradition-level certainty"
A010,KUM-10,Yogoda Satsanga Sakha Ashram Dwarahat,"Modern YSS ashram serving Kriya pilgrims",Yogananda;Mahavatar Babaji;Lahiri Mahasaya;Sri Yukteswar,"Current YSS institutional presence; no exact AOAY event for all four in the modern compound",DIRECT_INSTITUTIONAL,"meditation hall/shrine and institutional pilgrimage base","frozen ledger KUM-10 provenance; clock PDF; https://yssofindia.org/ashrams/dwarahat; commit 55f4498","Authoritative living Kriya institution near the cave world","Institutional lineage is not proof of physical lifetime presence",STRONG,PILGRIMAGE_BLOCK,"Taxonomy repair: direct institutional, not four-person exact life-site"
A011,KUM-01,Haidakhan Vishwa Mahadham,"Remote riverside ashram and temple complex at Village Haidakhan",Haidakhan Babaji,"Babaji lived, taught and organized the community here in 1970-1984 tradition",EXACT_LIFE_SITE,"main temple; dhuni; river; practice spaces","frozen ledger KUM-01 provenance; clock PDF; https://www.haidakhandisamaj.in/","Immersive exact-life-site and still-living practice world","Haidakhan Babaji is outside named Top-11; claims include devotional biography",VERY_STRONG,PILGRIMAGE_BLOCK,"Official Samaj history confirms site-level life and teaching association"
A012,KUM-02,Historic Haidakhan cave / gufa,"Cave above/within the Haidakhan sacred landscape",Haidakhan Babaji,"Tradition identifies reappearance and intensive meditation at/near this cave",EXACT_LIFE_SITE,"cave/gufa itself","frozen ledger KUM-02 provenance; clock PDF; https://www.haidakhandisamaj.in/","Most concentrated physical origin-point in the Haidakhan narrative","Exact chronology and identity claims are devotional-tradition evidence",VERY_STRONG,SIT_60M_OR_MORE,"The cave deserves separate provenance from the larger ashram"
A013,AGR-02,Bedai at Deviram's,"Specific Agra food stop for bedai",NONE,"No priority-person event",NAME_ONLY_OR_NO_PERSON_LINK,"shop counter and food experience","frozen ledger AGR-02 provenance; clock PDF; current venue listing later","Concrete regional food culture","Not a spiritual/person site; venue continuity needs live check",WEAK,VISIT,"Value is culinary and sensory only"
A014,AGR-03,Petha,"Agra sweet-food experience rather than one fixed sacred site",NONE,"No priority-person event",NAME_ONLY_OR_NO_PERSON_LINK,"verified maker/shop to be chosen live","frozen ledger AGR-03 provenance; clock PDF","Distinctive Agra material culture","Generic category and easy duplication",WEAK,VISIT,"Needs a named operating outlet before physical precision exists"
A015,AGR-04,Gajak,"Agra winter sesame-jaggery food experience",NONE,"No priority-person event",NAME_ONLY_OR_NO_PERSON_LINK,"verified vendor to be chosen live","frozen ledger AGR-04 provenance; clock PDF","Seasonally apt local taste","No person link and no frozen exact shop",WEAK,VISIT,"This is a seasonal food item, not a provenance-bearing location"
A016,AGR-01,Taj Mahal,"Mughal funerary garden and marble mausoleum",Yogananda;Mumtaz Mahal;Shah Jahan,"Mumtaz and Shah Jahan are entombed here; Yogananda has documented onsite photo/memory, not an AOAY episode",EXACT_LIFE_SITE,"mausoleum tomb chamber; charbagh; Yogananda photo viewpoint if reconstructable","frozen ledger AGR-01 provenance; clock PDF; https://whc.unesco.org/en/list/252; commit 55f4498","World-class exact funerary site plus documented Yogananda presence","Yogananda link is a visit/photo, weaker than teaching or transformation",STRONG,PILGRIMAGE_BLOCK,"Do not inflate the Yogananda visit into an uncited AOAY event"
A017,BOD-01,Mahabodhi Temple Complex + Bodhi Tree,"Archaeological and living temple complex at the enlightenment locus",Gautama Buddha,"Tradition/UNESCO identify the Vajrasana and Bodhi Tree area as enlightenment site",EXACT_LIFE_SITE,"Vajrasana; Bodhi Tree; seven-week commemorative stations","frozen ledger BOD-01 provenance; clock PDF; https://whc.unesco.org/en/list/1056","One of Buddhism's primary exact-event pilgrimage places","Present tree and structures are successors to ancient originals",VERY_STRONG,PILGRIMAGE_BLOCK,"UNESCO distinguishes the event locus from later architectural fabric"
A018,BOD-04,Great Buddha Statue,"Modern monumental seated Buddha statue complex",Gautama Buddha;14th Dalai Lama,"Memorial image; consecrated/inaugurated in 1989 by the Dalai Lama",MEMORIAL_OR_SUCCESSOR,"statue forecourt and circumambulatory axis","frozen ledger BOD-04 provenance; clock PDF; Bihar tourism/Daijokyo histories","Major contemporary devotional landmark","No historical Buddha presence; mostly modern iconographic impact",MIXED,VISIT,"Its direct event is the modern Dalai Lama consecration, not Buddha biography"
