surface_type,ref_or_commit,path_or_identifier,blob_sha_or_comment_id,size_if_known,semantic_type,read_status,duplicate_of,relevance,currentness_class,superseded_by,conflict_id,knowledge_output_destination,notes
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,.gitignore,0f9b9063ec002ba4f8aad33daf34bb162853dbdd,19,non_semantic_scaffold,CLASSIFIED_NON_SEMANTIC,,NONE,HISTORICAL_PROVENANCE_ONLY,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,README.md,bc4e5fa5dd2d168f8b5dd2ed3f005fc1512fa55a,1678,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/INDEX.md,3928cc635e2a9ac24c715e56c8bf670e0eb4fcfb,8610,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__add-yogananda-location-atlas/india4/README.md,7e7bf13afc97359c354008638ae4e0e512003fa2,1617,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__add-yogananda-location-atlas/india4/protocols/INDIA5-PROTOCOL.md,75db6184e8f28a7ef886db9e2c66881af8ac2b80,5820,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/BOOKING_WINDOWS.md,b8c403138d83f8f9e0fe15fb460071bd1e4c18d5,4971,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/CALENDAR_RISK.md,d14f6cf816707ded011d4c36e7125c995c52b17a,3726,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/DEADLINE_BOARD.md,9a70ed964c63d3e170036dda412d0ef8c0297094,4655,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/ENTRY_AND_ADMIN.md,8aab7c9ceadeddbda6bd43477452f40aadd9b333,4238,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/STATUS.md,ccc7697e4af2c96039a9ecbef2104edcd438f71c,1187,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/TASK.md,56c4a144c2ae476cabf8bba07df33414abc869e5,1917,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
