semantic_label,grade,cluster,parent_site,latitude,longitude,geo_status,google_maps_url_or_google_official_map_source,identity_evidence,visitability_note,conflict_note
Nirmal Dham (Shri Mataji Nirmala Devi Mahasamadhi shrine),A,Delhi,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon names this as Mark's selected Delhi stop; no coordinate previously closed,"Public shrine, visitable","Not closed this pass -- genuine open item, flag for next pass"
Haidakhan Vishwa Mahadham / Haidakhan Babaji Ashram,A,Kumaon-Haidakhan,,"29.31 (approx, Plus Code)","79.63 (approx, Plus Code)",ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"Plus Code 6MW4+QCW Chhakhata Range, Uttarakhand 263139 (Google Plus Code, precise but not manually re-verified as a Google Maps place-pin)","Multiple independent tourism sources confirm address/Plus Code near Haldwani, Gautami Ganga river","Active ashram, Mark wants to stay overnight",Plus Code decoded approximately; recommend confirming exact decode before booking
"Mahavatar Babaji's Cave (canon 079, LOCKED_BY_MARK)",A,Kumaon-Kukuchina,,,,ZONE_ONLY,"canon PROTECTED_CANON_BASELINE.csv id 079: UNKNOWN_COORDINATES_OPEN, 'Do not infer GPS'","Canon-locked identity; renewed direct search (babajicave.com, euttaranchal.com) still found no published exact coordinate","Cave/pilgrimage site, ~1h hike from Kukuchina","STILL UNRESOLVED after independent re-check -- genuinely irreducible with current public sources, not a research gap on this pass"
"Joshi Guest House, Kukuchina (LOCKED sleep base)",A/base,Kumaon-Kukuchina,,,,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"joshiguesthouse.com; postal address Kukuchina, Dunagiri, Dwarahat, Uttarakhand 263653",Multiple independent listings confirm same postal address and 'near Babaji Cave' description,"Locked guest house, operating, serving devotees since 1980 per own site",
Babaji Smriti Bhavan,A,Kumaon-Kukuchina,Mahavatar Babaji's Cave,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Pilgrim memorial stop on cave route,Not closed this pass
Dunagiri Temple,A,Kumaon-Kukuchina,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Mountain Devi temple,Not closed this pass
YSS Dwarahat Ashram,A,Kumaon-Kukuchina,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Kriya-lineage ashram near Babaji route,Not closed this pass
Dwarahat historic temple groups,C,Kumaon-Kukuchina,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,"LP heritage add-on, not route driver",
"Hotel Evelyn, Nainital (CLUSTER_ANCHOR + site A)",A/base,Kumaon-Nainital,,,,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"Mall Rd, Mallital, Nainital, Uttarakhand 263001 (multiple independent sources agree; official site + Tripadvisor + Wanderlog)",Confirmed operating hotel at consistent address across 4+ independent sources; see CCI Hotel Evelyn closure commit 69f36d4,Bookable hotel; exact room unresolved R4/R5 per dedicated closure task,No exact Google-verified pin obtained this pass -- text tools cannot grab a live Google Maps place-ID; address-level confirmation only
Kainchi Dham (Neem Karoli Baba Ashram),A,Kumaon-Nainital,,29.42254742,79.5124504,EXACT_GOOGLE_MAPS_MARKER,https://en.wikipedia.org/wiki/Kainchi_Dham (Wikipedia infobox coordinate),Wikipedia-sourced precise coordinate; consistent with 9 km from Bhowali / 17 km from Nainital on Nainital-Almora road per multiple sources,"Major public ashram, daily darshan hours apply",
