INDIA19_Kloktijdplanning_A79_v1 — FROZEN AUDIT MIRROR
PDF SHA256: 0adec758a0b156d56fdd7c8552fa214b78f8e24291d9be759e367dde99d00716
DOCX SHA256: 6f2369a804972da9325bbdac26033e07ca18833d6562859d7a6954b5ebc7619f
Frozen A-ledger commit: a2b71b2563f446480b012f0b9176a87e96fcb003
PDF pages: 26

=== 33-NIGHT SKELETON ===
Nacht | Datum | Slaapbasis | Burden | Kern
1 | 19 dec 2026 (za) | Delhi -> nachttrein | HIGH FRICTION | Aankomst India en door naar Kumaon
2 | 20 dec (zo) | Nainital | LOW LOAD | Herstel en Hotel Evelyn
3 | 21 dec (ma) | Nainital | NORMAL | Naini Lake en Hanuman Garhi
4 | 22 dec (di) | Nainital | FULL | Kainchi Dham + Bhumiadhar
5 | 23 dec (wo) | Dunagiri/Kukuchina | HIGH FRICTION | Basiswissel naar Dunagiri
6 | 24 dec (do) | Dunagiri/Kukuchina | FULL | Babaji-pilgrimage
7 | 25 dec (vr) | Dunagiri/Kukuchina | FULL | Volledige YSS Dwarahat-dag
8 | 26 dec (za) | Haidakhan | NORMAL | Aankomst Haidakhan en eerste oriëntatie
9 | 27 dec (zo) | Haidakhan | LOW LOAD | Beschermde rustige ashramdag 1
10 | 28 dec (ma) | Haidakhan | LOW LOAD | Beschermde rustige ashramdag 2
11 | 29 dec (di) | Delhi transit | FULL | Haidakhan -> Kathgodam -> Delhi
12 | 30 dec (wo) | Agra | NORMAL | Delhi -> Agra + Agra-foodlaag
13 | 31 dec (do) | Agra -> nachttrein | FULL | Taj bij eerste licht + vertrek naar Gaya
14 | 1 jan 2027 (vr) | Bodh Gaya | NORMAL | Aankomst Bodh Gaya + Mahabodhi
15 | 2 jan (za) | Bodh Gaya | LOW/NORMAL | Great Buddha + internationale kloosters
16 | 3 jan (zo) | Bodh Gaya | FULL | Sujata - Dungeshwari pelgrimsdag
17 | 4 jan (ma) | Varanasi | FULL | Gaya -> Varanasi + Ganga Aarti
18 | 5 jan (di) | Varanasi | HIGH FRICTION | Dawn boat + Old City + Kabir
19 | 6 jan (wo) | Varanasi | FULL | Assi-Tulsi + Anandamayi Ma
20 | 7 jan (do) | Varanasi | FULL | Subah-e-Banaras + Kriya-dag
21 | 8 jan (vr) | Varanasi | NORMAL | Zuid-Varanasi tempels
22 | 9 jan (za) | Varanasi | OVERLOADED | Grote noord-naar-zuid ghatwandeling
23 | 10 jan (zo) | Varanasi/Sarnath | FULL | Sarnath op open museumdag
24 | 11 jan (ma) | Varanasi | LOW LOAD | Buffer, recovery en retries
25 | 12 jan (di) | Kolkata/Dakshineswar | HIGH FRICTION | Vlucht naar Kolkata - géén A-programma
26 | 13 jan (wo) | Kolkata/Dakshineswar | FULL | Dakshineswar + Belur
27 | 14 jan (do) | Kolkata | NORMAL/FULL | Yogananda Garpar-dag
28 | 15 jan (vr) | Tiruvannamalai | HIGH FRICTION | CCU -> Chennai -> Tiruvannamalai
29 | 16 jan (za) | Tiruvannamalai | FULL | Ramana hill + vroege biografische plekken
30 | 17 jan (zo) | Tiruvannamalai | FULL / PHYSICAL | Girivalam + tempel
31 | 18 jan (ma) | Tiruvannamalai | LOW/NORMAL | Standalone Ramanasramam-immersiedag
32 | 19 jan (di) | Chennai airportzone | LOW TRANSFER | Tiruvannamalai -> Chennai
33 | 20 jan (wo) | Delhi final | OVERLOADED / FLIGHT-SAFETY FIRST | Vroege vlucht + drie Delhi A-items

=== A001-A079 INDEX ===
Nr | Bron-ID | Grade | Datum | Tijd | Locatie | Wereld
A001 | KUM-03 | A+ | 20 dec (zo) | 12:00-12:45 | Hotel Evelyn | Nainital
A002 | KUM-04 | A+ | 21 dec (ma) | 08:00-09:15 | Naini Lake circumambulation walk | Nainital
A003 | KUM-08 | A | 21 dec (ma) | 15:30-17:00 | Hanuman Garhi + Maharajji kuti | Nainital
A004 | KUM-05 | A+ | 22 dec (di) | 09:30-12:00 | Kainchi Dham | Kumaon
A005 | KUM-07 | A | 22 dec (di) | 13:30-14:15 | Bhumiadhar | Kumaon
A006 | KUM-09 | A | 23 dec (wo) | 10:00-11:00 | Dhokaney Waterfall | Kumaon transfer corridor
A007 | KUM-11 | A | 24 dec (do) | 08:00-09:00 | Dunagiri Temple / Maa Dunagiri Vaishnavi Temple | Dunagiri
A008 | KUM-12 | A | 24 dec (do) | 09:35-10:15 | Babaji Smriti Bhavan | Dunagiri/Kukuchina
A009 | KUM-06 | A+ | 24 dec (do) | 11:30-12:30 | Mahavatar Babaji's Cave | Kukuchina-Dunagiri
A010 | KUM-10 | A | 25 dec (vr) | 06:30-08:00 | Yogoda Satsanga Sakha Ashram, Dwarahat | Dwarahat
A011 | KUM-01 | A+ | 26 dec (za) | 15:00-16:45 | Haidakhan Vishwa Mahadham / Haidakhan Ashram | Haidakhan
A012 | KUM-02 | A+ | 26 dec (za) | 16:45-17:30 | Historic Haidakhan cave / gufa | Haidakhan
A013 | AGR-02 | A | 30 dec (wo) | 11:00-11:45 | Bedai at Deviram's | Agra
A014 | AGR-03 | A | 30 dec (wo) | 12:00-12:20 | Petha | Agra
A015 | AGR-04 | A | 30 dec (wo) | 12:20-12:35 | Gajak | Agra
A016 | AGR-01 | A+ | 31 dec (do) | 06:35-10:15 | Taj Mahal | Agra
A017 | BOD-01 | A+ | 1 jan 2027 (vr) | 11:00-13:30 | Mahabodhi Temple Complex + Bodhi Tree | Bodh Gaya
A018 | BOD-04 | A | 2 jan (za) | 09:00-09:45 | Great Buddha Statue | Bodh Gaya
A019 | BOD-07 | A | 2 jan (za) | 10:00-11:15 | International monastery belt | Bodh Gaya
A020 | BOD-02 | A+ | 3 jan (zo) | 08:30-09:30 | Sujata Stupa | Bodh Gaya/Bakraur
A021 | BOD-03 | A+ | 3 jan (zo) | 10:15-12:15 | Dungeshwari / Mahakala Caves | Near Bodh Gaya
A022 | BOD-05 | A | 3 jan (zo) | 12:15-13:00 | Ancient Pragbodhi/Dungeshwari stupa ridge | Near Bodh Gaya
A023 | VNS-21 | A | 4 jan (ma) | 17:15-17:40 | Shitala Mata Temple | Varanasi
A024 | VNS-03 | A+ | 4 jan (ma) | 17:45-20:00 | Dashashwamedh Ghat + evening Ganga Aarti | Varanasi
A025 | VNS-10 | A | 5 jan (di) | 05:30-08:00 | Ganges dawn rowboat | Varanasi
A026 | VNS-27 | A | 5 jan (di) | 10:00-11:00 | Shri Kashi Vishwanath Temple | Varanasi
A027 | VNS-11 | A | 5 jan (di) | 11:05-11:30 | Maa Annapurna Temple | Varanasi
A028 | VNS-12 | A | 5 jan (di) | 11:40-12:05 | Vishalakshi Gauri Temple | Varanasi
A029 | VNS-07 | A | 5 jan (di) | 12:15-13:15 | Bengali Tola - Thatheri Bazaar - Chowk lanes | Varanasi
A030 | VNS-06 | A | 5 jan (di) | 13:15-13:35 | Banarasi paan | Varanasi
A031 | VNS-37 | A | 5 jan (di) | 15:00-16:00 | Kabir Chaura Math | Varanasi
A032 | VNS-08 | A | 6 jan (wo) | 05:30-08:30 | Assi-Tulsi slow dawn ghat walk | Varanasi
