ID,ENTITY_FULL_NAME,CLUSTER_WORLD,GRADE,WHAT,WHY,PARENT_CHILD_RELATION,MAY_SHARE_VISIT_BLOCK,COORD_ACCESS_CONFIDENCE,COVERAGE_STATUS,FINAL_CALENDAR_DISPOSITION,SOURCE_PROVENANCE,STABLE_SOURCE_ID
DEL-01,"Nirmal Dham / Shri Mataji Nirmala Devi ashram (Chhawla, southwest Delhi)",Delhi,A+,Sacred ashram destination associated with Shri Mataji Nirmala Devi,Personal spiritual driver for Mark; the fixed A+ Delhi anchor,"Standalone parent, no children","No — distinct destination, not naturally bundled with other Delhi content",LIVE_RECHECK_LATER (exact access/road time not re-verified in this packet),BINDING_NOT_YET_PDF_AUDITED,,governance/CURRENT_DECISIONS_MASTER.md sec.6; decisions/NIRMAL_DHAM_FINAL_DELHI_PLACEMENT_MARK_DECISION_2026-09-09.md,NOT_IN_PERMANENT_REGISTRY
DEL-02,"PVR Priya IMAX (Vasant Vihar, Delhi)",Delhi,A,"Historic standalone Hindi/Bollywood cinema, IMAX screening experience",Mark values a genuine Hindi/IMAX cinema experience if a worthwhile title is actually showing,Standalone; candidate for the final Delhi window,"Yes, fits inside the one free final Delhi day if timing allows",Venue known; exact film/showtime = LIVE_RECHECK_LATER,CONDITIONAL,,"governance/CURRENT_DECISIONS_MASTER.md sec.6; decisions/DELHI_PVR_SELECT_CITYWALK_C_MARK_DECISION_2026-09-02.md (explicit newest Mark decision: ""PVR Priya IMAX ... [A] remains selected"") -- CORRECTED provenance; the prior citation of DECISION_LEDGER DL-0050 (2026-08-31, B) was stale and has been replaced because the 2026-09-02 decision file explicitly supersedes it with A.",NOT_IN_PERMANENT_REGISTRY
DEL-03,"Lotus Temple / Bahá'í House of Worship (Kalkaji, south Delhi)",Delhi,A,"Lotus-shaped Bahá'í House of Worship, architectural/contemplative site",Architectural/contemplative value; general-traveler + quiet-space fit for Delhi final day,Standalone,"Yes, plausible final-Delhi-day companion to other content",Well-known public site; not independently re-verified in this packet,BINDING_NOT_YET_PDF_AUDITED,,governance/CURRENT_DECISIONS_MASTER.md sec.6,NOT_IN_PERMANENT_REGISTRY
KUM-01,"Haidakhan Vishwa Mahadham / Haidakhan Ashram (Haidakhan, Kumaon)",Kumaon,A+,Working ashram/temple/river complex; the physical Haidakhan sleep base itself,Personally resonant Haidakhan Babaji devotion for Mark; two full protected quiet days locked here,"Parent world; the historic cave (KUM-02) is inside the same ashram/gufa world, not a separate excursion",Yes — shares the ashram world/day with KUM-02 by design,P0 open: exact true-Haidakhan Vishwa Mahadham road geometry from Delhi/Nainital still needs decision-grade closure (distinct from Anandpuri/Ranikhet),BINDING_NOT_YET_PDF_AUDITED,,runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md; DECISION_LEDGER DL-0023,NOT_IN_PERMANENT_REGISTRY
KUM-02,"Historic Haidakhan cave / gufa (Haidakhan, Kumaon)",Kumaon,A+,"Historic cave associated with Haidakhan Babaji, within the ashram grounds/riverside world",Same personal-devotion motivation as the ashram itself,Child of KUM-01 ashram/gufa world,"Yes — same world/day as KUM-01, explicitly not a separate regional excursion",Same as KUM-01,BINDING_NOT_YET_PDF_AUDITED,,runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
KUM-03,Hotel Evelyn (Nainital),Kumaon,A+,Historic hotel/property linked to Ram Dass's travel history; building/terrace-zone experience,Ram Dass biographical resonance for Mark; exact historic room/floor not proven and must not be fabricated,"Standalone historical property, also functions as the Nainital sleep base","Yes, naturally shared with Nainital local day content",Property identity known; exact historic room/wing unproven — do not fabricate,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0025; KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
KUM-04,Naini Lake circumambulation walk (Nainital),Kumaon,A+,"Lakeside walking circuit around Naini Lake, ~3.2-3.5 km / 55-75 min, morning preferred","Signature Nainital experience, scenic morning walk",Standalone Nainital-day content,"Yes, natural anchor for a Nainital local day alongside KUM-03/KUM-05",Walk distance/time sourced from prior planning pass; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
KUM-05,"Kainchi Dham (Kainchi, Kumaon)",Kumaon,A+,"Neem Karoli Baba ashram/temple complex, pilgrimage site to be treated as unhurried, not a timed photo stop",Neem Karoli Baba devotional significance,"Standalone, ~18-20 km / 45-70 min each way from Nainital",Bundled same-day with KUM-06 Bhumiadhar (~11.6 km/26 min apart),Road distance/time from prior planning pass; LIVE_RECHECK_LATER for winter road conditions,BINDING_NOT_YET_PDF_AUDITED,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,LEGACY-KAINCHI_EXISTING
KUM-06,"Mahavatar Babaji's Cave (Kukuchina-Dunagiri, Kumaon)",Kumaon,A+,"Cave associated with Mahavatar Babaji, reached via a ~2-3 km / ~1 hour climb from the Dunagiri base",Central Kriya-lineage pilgrimage site for Mark,Standalone pilgrimage anchor; bundled with KUM-12 Babaji Smriti Bhavan in the same pilgrimage world,"Yes, shares a half-day with KUM-12 and optionally KUM-11 Dunagiri Temple",Track/safety/winter-closure status controls exact operational timing; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,PERMANENT-079
KUM-07,"Bhumiadhar (near Kainchi, Kumaon)",Kumaon,A,Small locality/site near Kainchi Dham with its own retained relevance,Bundled Neem Karoli Baba-era relevance near Kainchi,Standalone but geographically tied to KUM-05 Kainchi,"Yes — ~11.6 km/26 min from Kainchi, natural same-day bundle",Distance sourced from prior planning pass,BINDING_NOT_YET_PDF_AUDITED,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
KUM-08,Hanuman Garhi + Maharajji-kuti (Nainital),Kumaon,A,Hanuman temple plus a Neem Karoli Baba (Maharajji) kuti/hermitage on the same hill site,Neem Karoli Baba devotional relevance layered onto a Nainital hill temple,Standalone Nainital-area content,"Yes, fits within a Nainital local day",Site known; not independently re-verified in this packet,BINDING_NOT_YET_PDF_AUDITED,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
KUM-09,"Dhokaney Waterfall (Dhokaney-Suyalbari, Kumaon)",Kumaon,A,Waterfall reached by a ~0.8-1.2 km / 30-45 min visitor walk off the Almora/Suyalbari road branch,Natural/scenic content on the Nainital-to-Dunagiri transit day,Standalone; sits on the same movement-day corridor as KUM-10/KUM-24 (A* items),"Yes — bundled into the Nainital->Dunagiri transit day, first item to drop if the day runs long",Walk distance from prior planning pass; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
KUM-10,"Yogoda Satsanga Sakha Ashram, Dwarahat (Kumaon)",Kumaon,A,"YSS/Yogananda-linked ashram at Dwarahat; a full-day visit, no overnight","Yogananda/Kriya-lineage significance; Mark is Ananda-lineage so NO YSS overnight, but the site visit itself is valued","Standalone, full day HARD requirement (not to be compressed or bundled with other excursions)",No — Mark rule is a dedicated FULL DAY; do not hide other excursions inside this promise,Site known; exact door-to-door commute time from Dunagiri base still an operational item,BINDING_NOT_YET_PDF_AUDITED,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md; DECISION_LEDGER DL-0018,NOT_IN_PERMANENT_REGISTRY
KUM-11,"Dunagiri Temple / Maa Dunagiri Vaishnavi Temple (Dunagiri, Kumaon)",Kumaon,A,Vaishnavi Devi temple at Dunagiri,Local sacred-site relevance in the Dunagiri/Babaji pilgrimage world,Standalone but geographically tied to KUM-06/KUM-12 Dunagiri-Kukuchina world,"Yes, can be added to K6 arrival daylight or K7 pilgrimage-day afternoon if cave time/energy allow",Site known; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
KUM-12,"Babaji Smriti Bhavan (Dunagiri-Kukuchina, Kumaon)",Kumaon,A,"Memorial/commemoration building linked to Mahavatar Babaji, in the same pilgrimage world as the cave",Direct extension of the Babaji pilgrimage motivation,Child bundled within the KUM-06 Babaji pilgrimage world,"Yes, same half-day as KUM-06",Site known; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
