INDIA19_Kloktijdplanning_A79_v1 — FROZEN AUDIT MIRROR
PDF SHA256: 0adec758a0b156d56fdd7c8552fa214b78f8e24291d9be759e367dde99d00716
DOCX SHA256: 6f2369a804972da9325bbdac26033e07ca18833d6562859d7a6954b5ebc7619f
Frozen A-ledger commit: a2b71b2563f446480b012f0b9176a87e96fcb003
PDF pages: 26

=== DAILY CLOCK TABLES 5-38 ===
-- TABLE 6 --
Tijd | Activiteit / A-nummer | Afstand vanaf vorige A | Afstand naar volgende A | Status
10:15 | AI156 landt Delhi (werkvluchttijd uit canon). |  |  | 
10:15-12:30 | Immigratie, bagage, SIM/geld en luchthavenfrictie. |  |  | 
12:30-14:00 | Lunch + rustige reset; geen A-programma. |  |  | 
14:00-17:00 | Rust/day-room of stille luchthavenbuffer; jetlag niet negeren. |  |  | 
17:00-19:00 | Transfer naar Delhi Junction / definitief instapstation na ticketlock. |  |  | 
19:00-21:15 | Diner, water, perronbuffer. |  |  | 
~22:05 | 15013 Ranikhet Express richting Kathgodam (werktijd uit solve; LIVE_RECHECK_LATER). |  |  | 

-- TABLE 8 --
Tijd | Activiteit / A-nummer | Afstand vanaf vorige A | Afstand naar volgende A | Status
~05:05 | Aankomst Kathgodam; toilet/thee/bagage. |  |  | 
05:40-07:15 | Auto naar Nainital en Hotel Evelyn. |  |  | 
07:15-11:30 | Ontbijt, check-in indien mogelijk, slaap/herstel. |  |  | 
12:00-12:45 | A001 Hotel Evelyn als historische plek - rustig gebouw/terras bekijken. | Start/base: 0 km | Volgende A vandaag: geen | SCHEDULED
13:00-16:00 | Lunch en vrije tijd/slaap. |  |  | 
16:30-17:15 | A* S02 Sakley's: koffie/gebak alleen als energie goed is. |  |  | A* CONDITIONAL
18:30-20:00 | Diner en vroeg terug. |  |  | 

-- TABLE 10 --
Tijd | Activiteit / A-nummer | Afstand vanaf vorige A | Afstand naar volgende A | Status
07:30-08:00 | Ontbijt. |  |  | 
08:00-09:15 | A002 Naini Lake circumambulation, ca. 3.2-3.5 km. | Vanaf Hotel Evelyn: ~0.3-0.8 km / 5-15 min | Naar A003: ~4-5 km / 15-25 min | SCHEDULED
09:15-14:45 | Koffie, lunch, vrije Nainital-tijd. |  |  | 
15:00-15:25 | Auto naar Hanuman Garhi. |  |  | 
15:30-17:00 | A003 Hanuman Garhi + Maharajji kuti. | Vanaf A002: ~4-5 km / 15-25 min | Laatste A; terug Hotel Evelyn ~4-5 km / 15-25 min | SCHEDULED
18:30 | Diner / avond vrij. |  |  | 

-- TABLE 12 --
Tijd | Activiteit / A-nummer | Afstand vanaf vorige A | Afstand naar volgende A | Status
07:30 | Ontbijt. |  |  | 
08:30-09:30 | Auto Nainital -> Kainchi. |  |  | 
09:30-12:00 | A004 Kainchi Dham, onthaast bezoek. | Vanaf Hotel Evelyn: ~18-20 km / 45-70 min | Naar A005: 11.6 km / ~26 min | SCHEDULED
12:00-13:00 | Lunch/thee. |  |  | 
13:00-13:30 | Auto naar Bhumiadhar. |  |  | 
13:30-14:15 | A005 Bhumiadhar. | Vanaf A004: 11.6 km / ~26 min | Laatste A; terug Nainital ~17-20 km / 45-60 min | SCHEDULED
14:15-15:30 | Terugrit. |  |  | 
16:00-avond | Rust, geen extra checklist. |  |  | 

-- TABLE 14 --
Tijd | Activiteit / A-nummer | Afstand vanaf vorige A | Afstand naar volgende A | Status
07:30 | Ontbijt/check-out. |  |  | 
08:30-10:00 | Vertrek Nainital richting Dhokaney/Suyalbari-corridor. |  |  | 
10:00-11:00 | A006 Dhokaney Waterfall incl. korte bezoekwandeling. | Vanaf Nainital: ~40-50 km / 1.5-2 h (route-afhankelijk) | Volgende gewone A vandaag: geen | SCHEDULED
11:00-12:00 | A* S03 Kakrighat alleen als route/energie klopt. |  |  | A* SKIP_FIRST
12:00-13:00 | Lunch onderweg. |  |  | 
13:00-15:30 | Door naar Dunagiri/Kukuchina; A* S04 Dwarahat tempelgroepen alleen bij ruime daglichtmarge. |  |  | A* SKIP_FIRST
15:30-avond | Check-in, thee, rust. |  |  | 

-- TABLE 16 --
Tijd | Activiteit / A-nummer | Afstand vanaf vorige A | Afstand naar volgende A | Status
07:00 | Ontbijt. |  |  | 
