current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,.gitignore,0f9b9063ec002ba4f8aad33daf34bb162853dbdd,19,non_semantic_scaffold,CLASSIFIED_NON_SEMANTIC,,NONE,HISTORICAL_PROVENANCE_ONLY,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,README.md,bc4e5fa5dd2d168f8b5dd2ed3f005fc1512fa55a,1678,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/INDEX.md,3928cc635e2a9ac24c715e56c8bf670e0eb4fcfb,8610,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__add-yogananda-location-atlas/india4/README.md,7e7bf13afc97359c354008638ae4e0e512003fa2,1617,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__add-yogananda-location-atlas/india4/protocols/INDIA5-PROTOCOL.md,75db6184e8f28a7ef886db9e2c66881af8ac2b80,5820,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/BOOKING_WINDOWS.md,b8c403138d83f8f9e0fe15fb460071bd1e4c18d5,4971,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/CALENDAR_RISK.md,d14f6cf816707ded011d4c36e7125c995c52b17a,3726,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/DEADLINE_BOARD.md,9a70ed964c63d3e170036dda412d0ef8c0297094,4655,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/ENTRY_AND_ADMIN.md,8aab7c9ceadeddbda6bd43477452f40aadd9b333,4238,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/STATUS.md,ccc7697e4af2c96039a9ecbef2104edcd438f71c,1187,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/TASK.md,56c4a144c2ae476cabf8bba07df33414abc869e5,1917,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/WINTER_ACCESS_RISK.md,56686f53cf58ef1dcd903c69927e757b3222430b,4396,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/PHOTO_PASSPORT_SPEC.md,71239338567aba6ce68999f0770b204c19514e8c,3204,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/STATUS.md,f5fc87840f40a2e347668b2bbb11036e79a320b6,1987,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/TASK.md,b1e11287ce62e7f3a86d8c6e00336b6391201b17,1728,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_APPLICATION_CHECKLIST.md,cc8b759c4f156eaeeb154670c08cfc411d496068,3937,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_FORM_FIELD_PREP.md,901c52b4c4de618b496edd862df20116a4fe932b,7070,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_READY_STATUS.md,719d366ee5502967c1f4485517be073b2ec6d23c,3130,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_SCAM_GUARD.md,074026f219d010242c30037dbbb20ca51ba0873a,3160,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_TIMING_RECOMMENDATION.md,11a1534ad1e6c72d98b0cbcc2728d6eac9b265b1,3255,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/35_DAY_CAPACITY_IMPACT.md,307112f582ec76b316130b0f89f43b1ef1c4cfb5,6224,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/BUDDHIST_SPINE_AUDIT.md,65ed4541f01c1a82fb34280bfdd08fc9540ca85b,5623,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/MASTER_CLUSTER_UNION_INPUT.md,a56f37f0c46aa15b0f262c01522e9b58155ad2c8,8024,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/MISSING_FROM_PERSON_HEATMAP.md,b5849ce968447b6bdd2bfe3b3a10d6d5cac728fb,5348,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/NONPERSON_ANCHOR_INVENTORY.md,4eef77dec3c2f68755da98c054f30794737ff6d6,5766,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/STATUS.md,46a42d8fa703ad4805bcf8083b63989d093ae3c3,2054,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/TASK.md,bf8470d3c0cc468b173b74ef902ebe9861402b65,3080,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/CURRENT_EXISTENCE_AND_BOOKABILITY.md,7422780bbeab0befe4a43e663365521025673d33,8958,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/EXISTING_HOTEL_OVERRIDE_MATRIX.md,db468d499488fe465794c3038d015dc7477a5a78,5137,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/HERITAGE_STAY_CANDIDATES.md,f0a47999982f767077da69a171a01bd95b09e9ce,13749,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/MARK_HOTEL_REVIEW_QUEUE.md,2395079f7b591f1202a6ab5f3331ae759d42a43f,7301,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/ROOM_LEVEL_LEADS.md,935a63feab27161f9504e7793a3a9ba27beb525f,6804,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/STATUS.md,11e310500d355065784383279f6f9542a9ca33e9,3402,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/TASK.md,71c9892645e92071f2aad8c11c7e217fc39ea9d9,2926,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/HIGH_IMPACT_GAPS.md,876192dbe8273f4732015a51eb367da14081aeac,5141,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/MARK_DECISION_QUEUE_DRAFT.md,b6995273d6fe0dc121a011b1b48e712def4d6f39,4576,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/MASTER_HEATMAP_INPUT.md,a9b7e9bc1b2e0326cdd89a091b24154ef73d8f52,7062,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/MASTER_TRAVEL_READINESS.md,da90dce0176207ee97b5eff46d2fd88c1f525edc,7977,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/NEXT_EXECUTION_MAP.md,b63c4a113c824f4b83e63bd8a1640dbb8b519f0f,6884,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/STATUS.md,75e72d9c691f03bdcb3bab7c37ab7889489f0ef8,2383,markdown_prose,UNREAD,,,,,,,
