surface_type,ref_or_commit,path_or_identifier,blob_sha_or_comment_id,size_if_known,semantic_type,read_status,duplicate_of,relevance,currentness_class,superseded_by,conflict_id,knowledge_output_destination,notes
pr_body,PR#23,pull/23 body,PR23_BODY,,markdown_prose,READ_FULL,,HIGH,HISTORICAL_PROVENANCE_ONLY,,,CURRENT_TRAVEL_EXECUTION_CANON.md;SUPERSEDED_AND_DO_NOT_REVIVE.md,Varanasi 40-candidate round: 32A/5B/3C; Sahi River View Guesthouse LOCKED_BY_MARK; immutable numbering rule; rejected 008 coordinate
pr_comment,PR#23,pull/23 comment 2026-08-02T17:02:14Z,5159416542,3047,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:02:30Z,5159417684,187,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:08:43Z,5159442198,2743,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:11:18Z,5159452058,3772,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:17:36Z,5159476368,3084,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:18:43Z,5159480445,3908,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:25:03Z,5159503692,6163,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:25:42Z,5159506157,2990,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:35:56Z,5159544451,6159,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:42:52Z,5159570769,16822,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:44:16Z,5159576031,1581,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:44:58Z,5159578648,1352,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T17:55:02Z,5159616521,4377,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T18:07:48Z,5159666691,351,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T19:02:00Z,5159872026,3710,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T19:59:53Z,5160088773,2121,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T20:28:18Z,5160197803,4869,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-02T20:46:30Z,5160266108,652,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T20:03:09Z,5171126952,1072,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T20:10:41Z,5171195914,618,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T20:21:43Z,5171294818,809,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T20:29:58Z,5171368580,422,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T20:37:26Z,5171438705,751,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T20:57:40Z,5171635471,1028,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T21:02:45Z,5171681303,2068,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T21:11:03Z,5171756330,537,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T21:11:27Z,5171759827,640,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-03T21:28:12Z,5171928696,705,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T09:14:38Z,5176974551,543,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T09:20:34Z,5177046697,495,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T10:52:32Z,5178004746,560,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T10:59:41Z,5178071763,539,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T11:05:22Z,5178124811,855,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T11:15:51Z,5178239888,551,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T11:39:21Z,5178479661,669,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T13:03:18Z,5179455647,770,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T14:56:07Z,5180784284,606,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T16:53:52Z,5182104803,1186,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T20:33:20Z,5184300608,704,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T20:40:11Z,5184368113,587,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T21:12:41Z,5184687438,731,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
pr_comment,PR#23,pull/23 comment 2026-08-04T21:23:02Z,5184783261,704,discussion_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,full read in 11 chunks
