candidate_status,entity_key,name,region,resolution,id_action,parent_or_relation,coordinate_status,notes
SEED,OLD31-01,Matri Mandir / Anandamayi Ma Mahasamadhi,Kankhal,EXACT,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Preserved from earlier 31-candidate queue"
SEED,OLD31-02,Anandamayi Ma Ashram,Vrindavan,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Proximity backfill required"
SEED,OLD31-03,Kishenpur Anandamayi Ashram,Dehradun,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Exact sublocation still needs trusted pin"
SEED,OLD31-04,NKB birthplace temple,Akbarpur,EXACT,NEW_ID_REQUIRED_PENDING_DEDUP,SUCCESSOR_TO_HISTORIC_BIRTH_SITE,UNKNOWN,"TURQUOISE: later 2001 temple is not same lifetime building"
SEED,OLD31-05,Annapoorna Mandir / NKB Delhi Ashram,Delhi,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Do not merge with unnamed Delhi estate"
SEED,OLD31-06,North Delhi Hanuman Temple,Delhi,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Distinct Delhi site"
SEED,OLD31-07,Panki Hanuman Temple,Kanpur,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Presence claim remains epistemically separate"
SEED,OLD31-08,Yogananda birthplace/memorial,Gorakhpur,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Memorial/subsite check remains"
SEED,OLD31-09,Dihika Ashram,Dihika WB,HISTORIC_SITE,DEPENDENCY_ENTITY_CLOSURE,,UNKNOWN,"Current building identity unresolved"
SEED,OLD31-10,YSS Math / Ranchi campus,Ranchi,EXACT,NEW_ID_REQUIRED_PENDING_DEDUP,SAME_CAMPUS_SUCCESSOR_RELATION,UNKNOWN,"Historic Vidyalaya/current YSS campus; garden remains child unresolved"
SEED,OLD31-11,Maganvadi Ashram,Wardha,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Trusted marker still needed"
SEED,OLD31-12,Yogoda Math / Sri Yukteswar Ashram,Serampore,EXACT,NEW_ID_REQUIRED_PENDING_DEDUP,AMBIGUOUS_HISTORIC_CONTINUITY,UNKNOWN,"TURQUOISE high-priority ambiguity; no forced merge"
SEED,OLD31-13,Sri Ramanasramam,Tiruvannamalai,R1,NEW_ID_REQUIRED_PENDING_DEDUP,SAME_SITE_CROSS_PERSON,UNKNOWN,"Ramana + Yogananda; one parent entity only"
SEED,OLD31-14,Karar Ashram,Puri,R1,NEW_ID_REQUIRED_PENDING_DEDUP,SAME_SITE_WITH_MICROSITES,UNKNOWN,"Sri Yukteswar + Hariharananda; room children separate"
SEED,OLD31-15,Hariharananda Gurukulam / Shri Guru Mandir,Balighai,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Exact marker required before proximity"
SEED,OLD31-16,Vivekananda ancestral house,Kolkata,EXACT,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"105 Vivekananda Road"
